LINE,SENT DATE
234024,2017-02-03
234181,2017-02-03
234278,2017-02-03
234351,2017-02-03
234362,2017-02-03
234668,2017-02-03
235180,2017-02-03
235343,2017-02-03
235435,2017-02-03
235876,2017-02-03
236066,2017-02-03
236104,2017-02-03
236127,2017-02-03
236320,2017-02-03
236424,2017-02-03
236426,2017-02-03
236673,2017-02-03
236784,2017-02-03
236907,2017-02-03
236909,2017-02-03
237323,2017-02-03
237584,2017-02-03
237621,2017-02-03
238058,2017-02-03
238076,2017-02-03
238259,2017-02-03
238278,2017-02-03
238309,2017-02-03
238318,2017-02-03
238354,2017-02-03
238711,2017-02-03
238778,2017-02-03
239102,2017-02-03
239137,2017-02-03
235750,2017-02-03
234854,2017-02-03
234860,2017-02-03
233380,2017-02-04
233946,2017-02-04
234084,2017-02-04
233263,2017-02-04
233716,2017-02-04
234028,2017-02-04
234159,2017-02-04
235755,2017-02-04
236535,2017-02-04
238728,2017-02-04
232535,2017-02-04
239877,2017-02-06
240159,2017-02-06
240280,2017-02-06
240843,2017-02-06
240899,2017-02-06
231188,2017-02-06
231986,2017-02-06
232362,2017-02-06
232978,2017-02-06
233016,2017-02-06
233024,2017-02-06
233070,2017-02-06
233097,2017-02-06
233106,2017-02-06
233139,2017-02-06
233213,2017-02-06
233215,2017-02-06
233256,2017-02-06
233293,2017-02-06
233297,2017-02-06
233347,2017-02-06
233498,2017-02-06
233530,2017-02-06
233537,2017-02-06
233570,2017-02-06
233615,2017-02-06
233620,2017-02-06
233647,2017-02-06
233650,2017-02-06
233672,2017-02-06
233697,2017-02-06
233858,2017-02-06
233931,2017-02-06
233948,2017-02-06
233957,2017-02-06
233979,2017-02-06
233986,2017-02-06
234002,2017-02-06
234025,2017-02-06
234142,2017-02-06
234143,2017-02-06
234185,2017-02-06
234262,2017-02-06
236913,2017-02-06
237325,2017-02-06
238048,2017-02-06
239349,2017-02-06
240138,2017-02-06
240226,2017-02-06
241237,2017-02-06
241328,2017-02-06
233743,2017-02-06
234116,2017-02-06
234469,2017-02-06
234763,2017-02-06
234767,2017-02-06
234776,2017-02-06
236207,2017-02-06
236212,2017-02-06
236922,2017-02-06
237134,2017-02-06
237204,2017-02-06
238306,2017-02-06
238317,2017-02-06
238687,2017-02-06
238709,2017-02-06
238717,2017-02-06
240284,2017-02-06
240314,2017-02-06
240499,2017-02-06
240568,2017-02-06
240605,2017-02-06
240622,2017-02-06
240723,2017-02-06
240822,2017-02-06
240847,2017-02-06
240898,2017-02-06
240969,2017-02-06
240708,2017-02-07
234690,2017-02-07
238260,2017-02-07
238367,2017-02-07
238510,2017-02-07
238838,2017-02-07
238927,2017-02-07
241464,2017-02-07
231760,2017-02-07
232365,2017-02-07
232766,2017-02-07
233222,2017-02-07
233368,2017-02-07
233656,2017-02-07
233668,2017-02-07
233752,2017-02-07
233812,2017-02-07
233871,2017-02-07
234146,2017-02-07
234178,2017-02-07
234231,2017-02-07
234640,2017-02-07
234825,2017-02-07
235877,2017-02-07
235919,2017-02-07
236245,2017-02-07
240588,2017-02-07
234080,2017-02-07
234190,2017-02-07
234368,2017-02-07
235100,2017-02-07
235428,2017-02-07
235860,2017-02-07
236389,2017-02-07
237708,2017-02-07
238257,2017-02-07
238580,2017-02-07
240224,2017-02-07
240572,2017-02-07
240691,2017-02-07
240793,2017-02-07
240844,2017-02-07
240850,2017-02-07
240930,2017-02-07
241100,2017-02-07
241181,2017-02-07
241329,2017-02-07
241439,2017-02-07
241470,2017-02-07
241482,2017-02-07
241669,2017-02-08
241670,2017-02-08
241672,2017-02-08
241990,2017-02-08
241992,2017-02-08
241994,2017-02-08
242004,2017-02-08
242005,2017-02-08
242006,2017-02-08
230622,2017-02-08
233004,2017-02-08
233022,2017-02-08
233064,2017-02-08
233113,2017-02-08
233115,2017-02-08
233214,2017-02-08
233229,2017-02-08
233296,2017-02-08
233487,2017-02-08
233535,2017-02-08
233595,2017-02-08
233621,2017-02-08
233634,2017-02-08
233635,2017-02-08
233709,2017-02-08
233814,2017-02-08
233868,2017-02-08
233989,2017-02-08
234030,2017-02-08
234097,2017-02-08
234110,2017-02-08
234114,2017-02-08
234145,2017-02-08
234164,2017-02-08
234166,2017-02-08
234175,2017-02-08
234179,2017-02-08
234195,2017-02-08
234215,2017-02-08
234267,2017-02-08
234774,2017-02-08
234793,2017-02-08
234847,2017-02-08
234867,2017-02-08
234914,2017-02-08
234930,2017-02-08
235020,2017-02-08
235066,2017-02-08
235101,2017-02-08
235208,2017-02-08
235336,2017-02-08
235408,2017-02-08
235522,2017-02-08
235600,2017-02-08
235602,2017-02-08
235711,2017-02-08
235741,2017-02-08
235760,2017-02-08
235813,2017-02-08
235855,2017-02-08
235922,2017-02-08
236052,2017-02-08
236203,2017-02-08
236371,2017-02-08
236605,2017-02-08
236827,2017-02-08
236941,2017-02-08
236942,2017-02-08
236994,2017-02-08
237061,2017-02-08
237239,2017-02-08
237334,2017-02-08
237803,2017-02-08
238115,2017-02-08
238149,2017-02-08
238286,2017-02-08
238435,2017-02-08
238507,2017-02-08
238540,2017-02-08
238644,2017-02-08
238833,2017-02-08
238834,2017-02-08
239623,2017-02-08
240613,2017-02-08
240645,2017-02-08
241518,2017-02-08
242332,2017-02-08
242334,2017-02-08
242527,2017-02-08
233867,2017-02-08
234285,2017-02-08
238131,2017-02-08
238820,2017-02-08
241603,2017-02-08
241648,2017-02-08
241653,2017-02-08
241654,2017-02-08
241655,2017-02-08
241668,2017-02-08
241700,2017-02-08
241853,2017-02-08
241993,2017-02-08
242000,2017-02-08
232992,2017-02-09
233202,2017-02-09
233754,2017-02-09
234013,2017-02-09
234015,2017-02-09
234125,2017-02-09
234158,2017-02-09
234245,2017-02-09
234251,2017-02-09
234439,2017-02-09
234663,2017-02-09
234787,2017-02-09
234843,2017-02-09
234970,2017-02-09
235017,2017-02-09
235091,2017-02-09
235230,2017-02-09
235353,2017-02-09
235368,2017-02-09
235383,2017-02-09
235387,2017-02-09
235517,2017-02-09
235550,2017-02-09
235707,2017-02-09
235865,2017-02-09
235907,2017-02-09
235925,2017-02-09
236432,2017-02-09
236501,2017-02-09
236607,2017-02-09
236608,2017-02-09
236619,2017-02-09
236863,2017-02-09
236882,2017-02-09
236885,2017-02-09
236968,2017-02-09
237263,2017-02-09
237405,2017-02-09
237407,2017-02-09
237597,2017-02-09
237617,2017-02-09
237664,2017-02-09
237821,2017-02-09
238062,2017-02-09
238245,2017-02-09
238508,2017-02-09
238670,2017-02-09
238797,2017-02-09
239419,2017-02-09
239627,2017-02-09
239915,2017-02-09
241725,2017-02-09
242188,2017-02-09
242358,2017-02-09
242412,2017-02-09
242526,2017-02-09
242529,2017-02-09
234341,2017-02-09
234766,2017-02-09
234826,2017-02-09
235495,2017-02-09
235501,2017-02-09
235979,2017-02-09
238228,2017-02-09
238243,2017-02-09
239612,2017-02-09
241395,2017-02-09
242496,2017-02-09
242115,2017-02-10
242523,2017-02-10
232792,2017-02-10
233014,2017-02-10
233237,2017-02-10
233574,2017-02-10
233721,2017-02-10
233779,2017-02-10
233886,2017-02-10
234102,2017-02-10
234106,2017-02-10
234167,2017-02-10
234339,2017-02-10
234526,2017-02-10
234593,2017-02-10
234688,2017-02-10
234817,2017-02-10
234821,2017-02-10
235018,2017-02-10
235199,2017-02-10
235285,2017-02-10
235298,2017-02-10
235347,2017-02-10
235371,2017-02-10
235589,2017-02-10
235616,2017-02-10
235622,2017-02-10
235746,2017-02-10
236102,2017-02-10
236333,2017-02-10
236460,2017-02-10
236488,2017-02-10
236603,2017-02-10
236811,2017-02-10
237028,2017-02-10
237221,2017-02-10
237579,2017-02-10
237580,2017-02-10
238005,2017-02-10
238088,2017-02-10
238193,2017-02-10
238194,2017-02-10
238256,2017-02-10
238337,2017-02-10
238364,2017-02-10
238431,2017-02-10
238529,2017-02-10
238788,2017-02-10
238791,2017-02-10
238824,2017-02-10
238889,2017-02-10
239034,2017-02-10
239479,2017-02-10
239620,2017-02-10
239713,2017-02-10
239894,2017-02-10
240754,2017-02-10
241084,2017-02-10
242899,2017-02-10
233529,2017-02-10
234016,2017-02-10
235364,2017-02-10
235569,2017-02-10
235582,2017-02-10
237634,2017-02-10
242554,2017-02-10
242649,2017-02-10
242734,2017-02-10
242759,2017-02-10
242851,2017-02-10
242859,2017-02-10
242920,2017-02-10
233168,2017-02-11
233472,2017-02-11
234232,2017-02-11
234529,2017-02-11
236593,2017-02-11
236816,2017-02-11
237119,2017-02-11
237893,2017-02-11
238253,2017-02-11
239246,2017-02-11
239753,2017-02-11
240148,2017-02-11
240693,2017-02-11
233594,2017-02-11
234029,2017-02-11
234095,2017-02-11
234197,2017-02-11
234273,2017-02-11
234953,2017-02-11
235148,2017-02-11
235151,2017-02-11
235167,2017-02-11
235223,2017-02-11
235516,2017-02-11
235556,2017-02-11
235720,2017-02-11
236063,2017-02-11
236178,2017-02-11
236363,2017-02-11
236533,2017-02-11
236585,2017-02-11
236674,2017-02-11
236921,2017-02-11
237247,2017-02-11
237288,2017-02-11
237314,2017-02-11
237600,2017-02-11
237639,2017-02-11
237661,2017-02-11
237731,2017-02-11
238238,2017-02-11
238827,2017-02-11
238905,2017-02-11
239032,2017-02-11
239167,2017-02-11
239240,2017-02-11
239259,2017-02-11
239361,2017-02-11
239439,2017-02-11
239518,2017-02-11
239579,2017-02-11
239617,2017-02-11
239637,2017-02-11
239666,2017-02-11
239678,2017-02-11
239882,2017-02-11
239884,2017-02-11
239994,2017-02-11
240140,2017-02-11
240174,2017-02-11
240179,2017-02-11
240227,2017-02-11
240374,2017-02-11
240653,2017-02-11
240995,2017-02-11
241501,2017-02-11
242077,2017-02-11
242399,2017-02-11
243552,2017-02-11
235837,2017-02-11
236391,2017-02-11
239863,2017-02-11
240309,2017-02-11
243484,2017-02-11
232199,2017-02-13
233412,2017-02-13
233413,2017-02-13
234127,2017-02-13
234667,2017-02-13
234785,2017-02-13
234874,2017-02-13
235229,2017-02-13
235964,2017-02-13
