order_number,ship_date
R485021215,2017-04-05
R854708658,2017-04-05
R612426542,2017-04-05
R514427571,2017-04-05
R423187841,2017-04-05
R350620568,2017-04-05
R425770432,2017-04-05
R155513513,2017-04-07
R765546648,2017-04-06
R307534556,2017-04-06
R753064020,2017-04-06
R172847875,2017-04-06
R748787032,2017-04-06
R307534556,2017-04-06
R070480651,2017-04-06
R520155150,2017-04-06
R235022258,2017-04-06
R244637103,2017-04-06
R244637103,2017-04-06
R846032158,2017-04-06
R678620044,2017-04-06
R442845661,2017-04-06
R417805556,2017-04-07
R722436080,2017-04-06
R276321452,2017-04-06
R717450428,2017-04-06
R780423305,2017-04-06
R876053850,2017-04-06
R876053850,2017-04-06
R407522054,2017-04-06
R840333768,2017-04-06
R755572516,2017-04-06
R568213228,2017-04-07
R284267042,2017-04-06
R782332384,2017-04-06
R576418204,2017-04-06
R468676247,2017-04-06
R236544720,2017-04-06
R505443474,2017-04-06
R845742617,2017-04-06
R130474467,2017-04-07
R665702348,2017-04-06
R310013611,2017-04-06
R537132504,2017-04-06
R121821613,2017-04-06
R580252362,2017-04-06
R154478527,2017-04-06
R616073210,2017-04-06
R234442414,2017-04-06
R203451632,2017-04-06
R747628324,2017-04-06
R648354336,2017-04-06
R364678648,2017-04-06
R534238885,2017-04-06
R121008071,2017-04-06
R560318612,2017-04-06
R351034558,2017-04-06
R261323882,2017-04-06
R514343358,2017-04-06
R677614233,2017-04-06
R171184787,2017-04-06
R608648857,2017-04-06
R614201173,2017-04-07
R233583070,2017-04-07
R832541711,2017-04-06
R760320700,2017-04-06
R776342371,2017-04-06
R362385335,2017-04-06
R278846161,2017-04-06
R126352067,2017-04-06
R548228428,2017-04-07
R524850143,2017-04-07
R234471046,2017-04-07
R166644658,2017-04-07
R031246128,2017-04-07
R206732024,2017-04-07
R308088484,2017-04-07
R051556405,2017-04-07
R307137055,2017-04-07
R202867308,2017-04-07
R504668874,2017-04-13
R487584473,2017-04-07
R108086084,2017-04-07
R475813185,2017-04-07
R062287264,2017-04-07
R082304173,2017-04-07
R443118033,2017-04-07
R384241281,2017-04-07
R116170013,2017-04-07
R388022076,2017-04-07
R706264323,2017-04-07
R371823811,2017-04-07
R857011044,2017-04-07
R681266603,2017-04-07
R455824472,2017-04-07
R526818226,2017-04-07
R268430200,2017-04-07
R455538385,2017-04-07
R455538385,2017-04-07
R567067814,2017-04-07
R011143211,2017-04-07
R181303413,2017-04-07
R308512727,2017-04-07
R106413088,2017-04-07
R253554754,2017-04-07
R270534122,2017-04-07
R426377448,2017-04-07
R800325177,2017-04-07
R678680728,2017-04-07
R763786338,2017-04-07
R474247257,2017-04-07
R100226428,2017-04-07
R642755157,2017-04-07
R381684813,2017-04-07
R356056356,2017-04-07
R516583427,2017-04-07
R585014476,2017-04-07
R303863212,2017-04-07
R286822701,2017-04-07
R163078312,2017-04-07
R866777404,2017-04-07
R158548072,2017-04-07
R536062124,2017-04-10
R078503178,2017-04-10
R548878057,2017-04-10
R533085388,2017-04-10
R415454006,2017-04-10
R465177557,2017-04-10
R175127843,2017-04-10
R728568853,2017-04-10
R618104672,2017-04-10
R421631341,2017-04-10
R004840541,2017-04-10
R681761240,2017-04-10
R810173686,2017-04-11
R354000110,2017-04-11
R318783241,2017-04-11
R614748321,2017-04-11
R560450363,2017-04-11
R875581118,2017-04-11
R507620303,2017-04-11
R834054272,2017-04-11
R730535221,2017-04-11
R436588362,2017-04-11
R284521784,2017-04-11
R367124127,2017-04-11
R822450525,2017-04-11
R830751004,2017-04-11
E320827083,2017-04-11
R537330716,2017-04-11
R421866816,2017-04-11
R068301206,2017-04-12
R178004338,2017-04-12
R323417535,2017-04-12
R127547166,2017-04-12
R462330620,2017-04-12
R035302681,2017-04-12
R285615402,2017-04-12
R720612513,2017-04-12
