utm_campaign,product
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-JASMINE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_JASMINE-DRESSES_PISCES-VIRGO-PILA-AXIS-PISCES-SURREALDREAMER,VIRGO
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-LAUREN_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_LAUREN-DRESSES_MERIDIAN-NIKITA-BACKLESSHAVEN-WINSLOW-MIDHEAVEN-BACKLESSSTARLET,NIKITA
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-PALOMA_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_PALOMA-DRESSES_ARA-CAPRICORN-ARIANNE-ARA-TRINE-RETROGRADE,CAPRICORN
CONTEMPORARY_USA_ALL_25-37_LOOKALIKE_M_CAROUSEL_CAMPAIGN_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD,DEVILLE
PROM_USA_ALL_17-18_PROM_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-BARBIE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_BARBIE-DRESSES_CELESTINE-DIPPER-TWILIGHT-EVERETT-IRVINE-ELEGANTLACE,DIPPER
PROM_USA_ALL_17-18_PROM_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-JASMINE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_JASMINE-DRESSES_PISCES-VIRGO-PILA-AXIS-PISCES-SURREALDREAMER,VIRGO
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-BARBIE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_BARBIE-DRESSES_CELESTINE-DIPPER-TWILIGHT-EVERETT-IRVINE-ELEGANTLACE,DIPPER
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-JASMINE_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_JASMINE-DRESSES_PISCES-VIRGO-PILA-AXIS-PISCES-SURREALDREAMER,VIRGO
PROM-RE_USA_ALL_16-19_PROM-RE_ALL_CAROUSEL_INFLUENCERSTILL-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-LAUREN_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_LAUREN-DRESSES_MERIDIAN-NIKITA-BACKLESSHAVEN-WINSLOW-MIDHEAVEN-BACKLESSSTARLET,NIKITA
CONTEMPORARY_USA_ALL_28-35_HHI_ALL_CAROUSEL_CAMPAIGN_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD,DEVILLE
CONTEMPORARY_USA_ALL_28-35_SUSTAINABILITY_ALL_CAROUSEL_CAMPAIGN_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD,DEVILLE
CONTEMPORARY_USA_ALL_36-45_ALL_ALL_CAROUSEL_CAMPAIGN_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD,DEVILLE
CONTEMPORARY_USA_ALL_36-45_COMPETITORS_ALL_CAROUSEL_CAMPAIGN_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD,DEVILLE
CONTEMPORARY_USA_ALL_36-45_HHI_ALL_CAROUSEL_CAMPAIGN_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD,DEVILLE
CONTEMPORARY_USA_ALL_36-45_LOOKALIKE_ALL_CAROUSEL_CAMPAIGN_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD,DEVILLE
CONTEMPORARY_USA_ALL_36-45_SUSTAINABILITY_ALL_CAROUSEL_CAMPAIGN_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD,DEVILLE
PROM_RE_USA_ALL_17-19_RE_ALL_CAROUSEL_PRODUCT_NEW ARRIVALS_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_RINGWALD-GEMINI-VALENTINA-LIESL-DEVILLE,DRESSES_RINGWALD
PROM_USA_ALL_17-18_PROM_ALL_CAROUSEL_INFLUENCER-PRODUCT_EVERYBODYDANCE-INFLUENCER-PICKS-LAUREN_VIDEO-CAROUSEL_INFLUENCER-PRODUCT_OFFER_PDP_LAUREN-DRESSES_MERIDIAN-NIKITA-BACKLESSHAVEN-WINSLOW-MIDHEAVEN-BACKLESSSTARLET,NIKITA
CONTEMPORARY_AUS_ALL_36-45_LOOKALIKE_ALL_CAROUSEL_CAMPAIGN_HIGH CONTRAST_CAROUSEL_PRODUCT_BRAND_PDP_DRESSES_DEVILLE-RINDWALDS-MAQUINO-MIDDLETON-RINGWALD,DEVILLE
