Cohort,Gross Revenue,Net Sales,Orders,Units,Customized Units,Re-fulfilled Units,COGS,Packaging Materials,Product Cost,Discounts,Shipping,Taxes,Other Adjustments,Transactions,New Customers,Repeat Customers,year_month
Not Assigned,226370.4142,219206.39680000002,728,881,200,113,85164.05903816636,2202.5,60975.61186429971,-11307.0574,17567.161666666667,2215.96,944.88,728,427,33,2017-06
Prom,2837,2981.299999999999,8,11,0,5,1031.0167608334264,27.5,744.7390608334263,-100,196.52000000000007,15.3,229,8,5,1,2017-06
Bridal,24564.305,21432.348400000006,59,93,19,11,8658.745511179362,232.5,6440.937407579362,-3574.3066,1568.3700000000001,203.3500000000001,239,59,28,4,2017-07
Contemporary,15822.159199999998,14163.529200000003,46,62,17,2,5817.233481450193,155,4267.611134650193,-1826.42,1120.28,93.39,0,46,26,3,2017-07
Not Assigned,258764.3666,236024.68600000002,739,1017,236,170,95331.94380625624,2527.5,69930.99791225625,-27519.5332,18252.93,2094.4,1464.4525999999998,739,434,48,2017-07
Prom,572.76,535.76,2,2,0,0,228.1294424390244,5,166.8124024390244,-37,45.18,0,0,2,2,0,2017-07
Bridal,14465.9292,13674.239199999996,42,53,7,6,4955.387899923731,127.5,3531.104963123731,-970.6,1012.43,178.91,0,42,21,3,2017-08
Contemporary,27263.522399999994,26007.283000000003,85,105,25,6,9985.806712842055,260,7199.275505842055,-1982.8594,2001.1200000000001,399.36,297.26,85,51,2,2017-08
Not Assigned,285065.4796,278992.3948,889,1088,226,127,106666.77896636196,2712.5,77166.12951716197,-12889.7374,21084.37,3205.6499999999996,2846.6025999999993,889,496,39,2017-08
Prom,789.5726,734.0726,3,3,1,1,308.9810725689899,7.5,214.2329671689899,-55.5,72.56,0,0,3,1,0,2017-08
Bridal,18774.1258,17571.4908,56,70,18,3,6734.617393396438,175,4866.0441601964385,-1368.265,1338,209.13,-43.5,56,30,0,2017-09
Contemporary,21561.2546,20421.4168,76,84,17,1,8378.306237600093,210,6007.885150400093,-1359.0078,1753,189.17000000000002,0,76,40,2,2017-09
Not Assigned,244937.559,236691.924,771,950,195,30,91779.48646160658,2375,66674.92066560658,-10275.635,17955.5,1649.49,-61.68999999999987,771,456,33,2017-09
Bridal,12072.6716,11344.5316,46,52,13,0,4918.222164688396,130,3530.6307482883967,-878,1043,119.86,0,46,27,1,2017-10
Contemporary,23257.3146,21978.2346,85,93,19,0,9156.999460935296,232.5,6584.230657535296,-1524.43,1907.5,185.35,0,85,56,3,2017-10
Not Assigned,193789.8758,186536.2764,611,785,139,0,75097.84661276625,1962.5,55667.29459716626,-9431.6094,13785.499999999998,1767.61,-84.00000000000001,611,414,43,2017-10
Prom,691.52,648.02,3,3,1,0,279.8718967247387,7.5,198.6793167247387,-43.5,61.5,0,0,3,2,1,2017-10
Bridal,2218.2926,2081.2926,9,11,2,0,935.4121070632773,27.5,682.2546216632772,-137.00000000000003,189.5,0,0,9,7,1,2017-11
Contemporary,4555.250000000001,3650.05,9,18,9,0,1553.600123867102,45,1257.848673867102,-946.9199999999996,184.49999999999997,41.72,0,9,8,1,2017-11
Not Assigned,90498.2596,82046.3336,266,367,71,0,33622.15659807666,917.5,25624.71292367666,-9111.836,5508,802.67,-382.76,266,233,23,2017-11
Prom,868,843,2,4,0,0,370.09644248339447,10,303.4494424833945,-24.99999999999996,41,0,0,2,2,0,2017-11
