Page,Sessions,Bounces
/dress-tania-jumpsuit-645?color=burgundy,330,149
/dress-the-margaux-dress-1607?color=marigold,330,113
/dress-pritisha-dress-1286?color=navy,329,121
/dress-gillian-two-piece-909?color=icing-pink-and-red,325,124
/dress-paradise-dream-380?color=cobalt-blue,324,128
/dress-the-violette-dress-1488?color=white,323,132
/dress-sarah-907?color=navy,322,146
/dress-the-winnie-1417?color=pale-pink,322,99
/dress-kendall-multi-way-923?color=dark-burgundy,320,90
/dress-the-nebula-1326?color=dark-tan,320,99
/dress-backless-dreamer-539?color=black,319,131
/dress-the-phoenix-jumpsuit-1563?color=white,319,124
/dress-the-georgia-dress-1464?color=white,316,131
/dress-the-feather-dress-1554?color=love-in-bloom,312,129
/dress-the-ara-1356?color=dark-tan,310,108
/dress-the-midheaven-1363?color=white,310,154
/dress-the-quasar-1350?color=pale-pink,309,142
/dress-olsen-1106?color=red,307,111
/dress-laced-victoria-dress-1127?color=ivory,304,127
/dress-the-amelia-dress-1543?color=navy,300,110
/dress-the-meridian-1362?color=black,300,129
/dress-laced-victoria-dress-1127?color=black,294,126
/dress-the-joni-1300?color=ivory,294,124
/dress-anabelle-two-piece-411?color=pale-pink,291,128
/dress-the-polaris-1335?color=silver,290,124
/dress-kendall-multi-way-923?color=mushroom,288,119
/dress-the-capricorn-1370?color=navy,284,142
/dress-helena-483?color=cherry-red,278,79
/dress-the-clara-1297?color=ivory,277,124
/dress-stella-635?color=blush,276,102
/dress-the-supernova-1379?color=silver,276,107
/dress-in-dreams-345?color=white,275,66
/dress-dragon-eyes-lace-dress-1135,274,140
/dress-zephyra-dress-1280?color=dark-tan,270,112
/dress-laced-heartline-262?color=black,269,111
/dress-laced-heartline-262?color=white,269,120
/dress-the-aurore-1307?color=ivory,266,105
/dress-the-rutson-top-1522?color=black-and-white-gingham,266,136
/dress-the-sylvie-1311?color=ivory,264,118
/dress-wren-multi-way-scarf-top-1107?color=pale-blue-cotton-stripe,264,104
/dress-queen-of-spades-1006?color=black-and-pale-pink,263,112
/dress-queen-of-the-night-1129?color=white,262,96
/dress-backless-starlet-dress-1285?color=black,261,109
/dress-escala-944,261,67
/dress-the-esmerelda-1392?color=red,261,73
/dress-the-cindy-1434?color=pale-pink,260,131
/dress-vivi-dress-1102?color=mushroom,260,114
/dress-elite-dress-1281?color=dark-tan,259,90
/dress-the-dharma-dress-1562?color=true-romance-floral,258,122
/dress-agata-dress-1186?color=cobalt-blue,257,91
/dress-aurelia-dress-1275?color=ornate-dusk-floral,253,117
/dress-valerie-438?color=black,253,153
/dress-daisy-815?color=white,252,165
/dress-klara-706?color=black,252,68
/dress-the-preetma-pant-1479?color=black,252,95
/dress-the-ringwald-1387?color=pink-and-white-stripe,251,145
/dress-the-victoria-1315?color=ivory,251,105
/dress-metz-two-piece-1121?color=navy,249,81
/dress-the-aries-1347?color=dusty-rose,248,90
/dress-the-satellite-1377?color=red,246,90
/dress-etro-1004?color=ivory,244,118
/dress-rebel-capri-two-piece-917?color=black,244,114
/dress-the-candella-dress-1454?color=pretty-pink,243,99
/dress-gillian-two-piece-909?color=black,242,105
/dress-the-karisa-1429?color=champagne,242,79
/dress-the-saggitarius-1348?color=navy,240,92
/dress-yoko-dress-1116?color=ivory,240,91
/dress-iris-544?color=silver,239,121
/dress-from-above-518?color=wine,237,57
/dress-the-mimi-1413?color=bright-turquoise,236,84
/dress-anastasia-466?color=pale-pink,235,98
/dress-maquino-1198?color=navy,235,93
/dress-rosemary-283?color=red,232,86
/dress-sunday-dreamer-dress-1132?color=dusty-mushroom,232,84
/dress-rosemary-283?color=black,228,67
/dress-cali-two-piece-903?color=pale-blue,227,111
/dress-summer-angel-580?color=pale-blue,227,102
/dress-the-andromeda-1342?color=silver,227,102
/dress-the-chiara-two-piece-1491?color=pale-blue,227,94
/dress-the-dipper-1375?color=black,227,90
/dress-mesh-debutante-516?color=black,225,99
/dress-nella-dress-1289?color=black,225,79
/dress-sweet-rebel-504?color=indigo,225,93
/dress-lalitya-dress-1282?color=black,223,82
/dress-the-cassieopia-1330?color=black,223,102
/dress-the-virgo-1360?color=dark-tan,222,102
/dress-the-parker-dress-1515?color=black,219,94
/dress-allegra-680,218,55
/dress-the-sarr-jumpsuit-1532?color=black-and-white-spot,218,93
/dress-iris-544?color=navy,217,83
/dress-the-demi-dress-1514?color=navy,217,79
/dress-enchanted-lace-1183?color=ivory,216,87
/dress-surreal-dreamer-dress-1292,216,78
/dress-the-bisset-jumpsuit-1602?color=pale-blue,215,101
/dress-pila-1189?color=cherry-red,214,64
/dress-callais-1064?color=blush,213,101
/dress-lizzie-724?color=navy,213,101
/dress-the-larchmont-dress-1575?color=white-and-black-spot,213,87
/dress-the-los-feliz-jumpsuit-1585?color=navy,211,91
/dress-the-ara-1356?color=black,209,93
/dress-nikita-dress-1287,208,91
/dress-escala-944?color=ivory,206,73
/dress-rhodes-379?color=navy,206,66
/dress-rosalita-dress-1125?color=rosewater-floral,206,46
/dress-the-lucid-1355?color=candy-floral,205,116
/dress-the-valley-1433?color=champagne,203,80
/dress-the-solange-jumpsuit-1436?color=pale-pink,202,99
/dress-isla-841?color=navy,200,100
/dress-kiko-kimono-coat-1262?color=dark-tan,200,96
/dress-sunday-dreamer-dress-1132?color=pale-grey,200,80
/dress-cali-two-piece-903?color=peach,199,78
/dress-sinead-skirt-1173?color=ivory,199,67
/dress-the-preetma-pant-1479?PublisherName=ShopStyle+(POPSUGAR)&color=black&siteID=J84DHJLQkR4-9Kb6hdGKCIdY9LoC3CQp3w#utm_source=Linkshare&utm_medium=AffiliateUS&utm_campaign=LinksOrBanners,199,109
/dress-york-1210?color=black,199,90
/dress-the-beverly-dress-1572?color=black-and-red,198,74
/dress-willow-two-piece-686?color=black,198,69
/dress-leo-919?color=black,196,60
/dress-the-katharine-1313?color=ivory,196,68
/dress-blooming-hearts-1022?color=cobalt-crush-floral,194,103
/dress-natice-lace-dress-1137?color=black,194,77
/dress-brooke-jumpsuit-646?color=red,193,101
/dress-mildred-813?color=navy,193,62
/dress-the-amber-1415?color=pale-pink,193,72
/dress-the-demas-dress-1540?color=white,192,75
/dress-the-eve-1418?color=red,192,84
/dress-the-trine-1346?color=navy,192,98
/dress-astrid-371?color=cherry-red,188,61
/dress-ada-1096?color=light-nude,186,58
/dress-maisie-dress-1290?color=red,184,73
/dress-the-yvette-1425?color=mint,184,91
/dress-in-dreams-345?color=ice-blue,183,93
/dress-the-harmony-dress-1553?color=true-romance-floral,183,68
/dress-winslow-1000?color=black,183,80
/dress-backless-dreamer-539,182,59
/dress-jaxton-999?color=silver,182,81
/dress-portrait-dress-1110?color=rosewater-floral,182,70
/dress-alto-1141?color=white,181,99
/dress-firestone-930?color=black,180,55
/dress-the-zenith-1338,180,90
/dress-the-figeuroa-dress-1584?color=red,179,41
/dress-the-laurel-dress-1599?color=white,179,61
/dress-nella-dress-1289?color=pretty-pink,178,88
/dress-the-delphine-1353?color=dusty-rose,177,71
/dress-the-ortiz-dress-1526?color=pretty-pink,177,63
/dress-the-tessa-jumpsuit-1588?color=white,177,90
/dress-imogen-97?color=cherry-red,176,52
/dress-the-andromeda-1342?color=warm-tan,176,57
/dress-rosemary-283?color=white,175,59
/dress-mirabella-582?color=burgundy,174,74
/dress-romeo-994?color=black,174,70
/dress-odessa-185?color=white,173,79
/dress-the-toni-1408?color=navy,173,52
/dress-the-sophie-1403?color=pale-pink,172,71
/dress-daisy-471?color=navy,170,67
/dress-megan-915?color=black,170,63
/dress-ziv-1037?color=taupe,170,63
/dress-the-dusk-jumpsuit-1565?color=garden-at-dusk-floral,167,58
/dress-ada-dress-1096?color=hot-pink,166,88
/dress-avon-1220?color=navy,166,57
/dress-megan-915?color=pale-grey,166,68
/dress-the-gypset-dress-1556?color=dark-romance-floral,166,63
/dress-bella-vita-905?color=ocean,165,97
/dress-pluto-1214?color=navy,165,55
/dress-the-amelia-dress-1543?color=white,165,75
/dress-francisco-987?color=grey,164,58
/dress-palais-1053?color=white,160,71
/dress-stella-635?color=peach,160,67
/dress-veranika-two-piece-927?color=grand-lily,159,40
/dress-latrice-dress-1246?color=black,158,52
/dress-danielle-1050?color=ivory,156,68
/dress-firefly-640?color=black,156,70
/dress-lucy-two-piece-485?color=black,156,68
/dress-head-over-heels-515?color=navy,154,44
/dress-queen-of-peace-632?color=black,154,59
/dress-the-scarlett-1382?color=red,154,62
/dress-the-chung-skirt-1485?color=black-and-white-spot,153,71
/dress-the-rae-jumpsuit-1589?color=white,152,38
/dress-lace-debutante-474?color=hot-pink,150,55
/dress-bella-vita-905?color=navy,149,50
/dress-brooke-jumpsuit-646?color=black,149,68
/dress-michelle-886?color=sage-green,149,75
/dress-the-chen-top-1477?color=black-and-white-spot,149,71
/dress-first-in-line-467,148,26
/dress-the-amelia-dress-1543?color=navyutm_source=Facebook-Paid,148,68
/dress-tilbury-dress-1109,148,53
/dress-westside-1118?color=black,148,37
/dress-romeo-994?color=gold,147,43
/dress-the-midheaven-1363?color=black,147,62
/dress-moonlight-537?color=lilac,146,75
/dress-silk-dreamer-1134?color=champagne,146,44
/dress-kendall-multi-way-923?color=magenta,145,37
/dress-odessa-185?color=blush,144,66
/dress-phillipa-two-piece-910?color=indigo,144,33
/dress-tate-dress-1120,144,44
/dress-the-monroe-1385?color=red,144,47
/dress-the-valentina-1365?color=candy-floral,144,79
/dress-fall-from-heaven-971?color=red,143,60
/dress-larissa-689?color=forest-green,143,56
/dress-the-bluebell-1386?color=red-and-pretty-pink,143,56
/dress-the-gilda-dress-1475?color=pale-pink,143,56
/dress-the-haim-dress-1597?color=white,143,40
/dress-cole-1018?color=white,142,37
/dress-sasha-1060?color=ivory,142,35
/dress-the-ara-1356,140,22
/dress-tulle-belle-469,140,32
/dress-backless-dreamer-539?color=navy,139,63
/dress-delaney-three-piece-1088?color=navy,138,30
/dress-matteah-1087?color=white,138,48
/dress-escala-944?color=teal,137,58
/dress-malika-dress-1283?color=black,137,45
/dress-solace-517?color=white,137,57
/dress-the-brenda-1400?color=pale-grey,136,35
/dress-fallen-stars-1192?color=micro-star,135,51
/dress-astrid-371?color=pale-pink,133,53
/dress-the-blue-moon-1368?color=navy,133,34
/dress-the-vega-1328?color=pretty-pink,133,57
/dress-the-yara-two-piece-1528?color=navy,133,65
/dress-paradise-dream-380?color=ice-blue,132,69
/dress-the-cliff-jumpsuit-1564?color=sweet-romance-floral,132,83
/dress-midnight-ryder-648?color=black,131,56
