Date,Gross Revenue,Net Sales,Orders,Units,Customized Units,Re-fulfilled Units,COGS,Packaging Materials,Product Cost,Discounts,Shipping,Taxes,Other Adjustments,Transactions,New Customers,Repeat Customers,Returns,Inventory Returns,Refulfilled Return Units
2016-04-02,24862.8204,23993.292400000002,86,102,21,0,9626.244710649638,255,7058.859231049639,-869.528,1840.9800000000002,0,0,86,58,3,0,0,0
2016-04-03,41582.4326,40211.567599999995,135,168,25,0,15709.194738142645,420,11414.319277742645,-1370.865,3078.34,0,0,135,74,0,0,0,0
2016-04-04,37732.6426,36554.0426,124,154,22,0,14536.596433220384,385,10685.139197820383,-1178.6,2745.19,0,0,124,79,1,0,0,0
2016-04-05,42543.7026,40992.5606,146,176,26,0,16874.384628747113,442.5,12417.785371347114,-1551.142,3214.715,0,0,146,90,4,0,0,0
2016-04-06,35072.3252,34194.8752,117,144,26,0,13512.901339496499,360,9857.094958696498,-877.45,2620.955,0,0,117,68,2,0,0,0
2016-04-07,33982.33,32686.63,118,141,22,0,13155.576754527227,352.5,9567.334484527226,-1295.7,2598.03,0,0,118,72,4,0,0,0
2016-04-08,19672.1526,18757.2166,70,82,16,0,7695.284353654336,205,5621.6250722543355,-914.936,1505.1,0,0,70,47,1,0,0,0
2016-04-09,25869.66,25150.86,86,106,16,0,10059.755916616523,267.5,7385.839309949856,-718.8,1912.4416666666668,0,0,86,55,3,0,0,0
2016-04-10,57715.21,55611.118,194,240,17,0,22459.422311835184,600,16429.409889835184,-2104.092,4345.29,0,0,194,111,6,0,0,0
2016-04-11,44753.549999999996,43246.7,149,187,26,0,17136.994967780956,467.5,12553.445667780956,-1506.85,3273.2950000000005,0,0,149,100,5,0,0,0
2016-04-12,44155.8452,42320.7952,153,181,21,0,17039.048197504075,452.5,12381.465136704077,-1835.05,3375.98,0,0,153,103,3,0,0,0
2016-04-13,33585.73,32355.288,124,141,16,0,13350.03814474728,352.5,9659.53479274728,-1230.442,2709.9,0,0,124,76,2,0,0,0
2016-04-14,36349.92,34746.726,126,151,20,0,14296.036017516664,377.5,10446.130963516664,-1603.194,2796.9500000000003,0,0,126,86,4,0,0,0
2016-04-15,19603.9652,19040.015199999998,66,82,7,0,7711.487979713653,205,5649.157538913653,-563.9499999999999,1485.57,0,0,66,44,1,0,0,0
2016-04-16,23277.3078,22329.7898,80,97,13,0,8956.061130464539,242.5,6516.807226264538,-947.518,1762.59,0,0,80,59,3,0,0,0
2016-04-17,48121.86,46769.51,162,201,18,0,19061.560774331327,502.5,13797.174984331326,-1352.35,3847.77,0,0,162,101,2,0,0,0
2016-04-18,38921.5726,37676.2226,132,157,21,0,15466.296552517573,392.5,11030.076097117573,-1245.3500000000001,3296.5099999999998,0,0,132,83,2,0,0,0
2016-04-19,39652.7426,38189.3746,132,164,14,0,15807.220676133595,410,11333.148812733596,-1463.368,3317.38,0,0,132,79,5,0,0,0
2016-04-20,33373.6352,31903.7492,117,140,19,0,13682.979717795315,350,9654.910990995315,-1469.886,3060.8599999999997,0,0,117,71,2,0,0,0
2016-04-21,35188.3326,34056.3326,120,148,15,0,14197.699824271811,370,9979.48617887181,-1132,3186.18,0,0,120,73,4,0,0,0
2016-04-22,21970.2826,21161.0826,77,92,12,0,9159.101574153472,230,6471.710178753472,-809.2,2046.12,0,0,77,51,0,0,0,0
2016-04-23,25989.6726,24932.4676,91,106,13,0,10607.68233669801,265,7439.19077629801,-1057.205,2413.65,0,0,91,67,1,0,0,0
2016-04-24,39722.775200000004,38582.9332,138,165,24,0,16190.138606380966,412.5,11300.953543580965,-1139.842,3720.7799999999997,0,0,138,88,4,0,0,0
2016-04-25,41802.81,40394.81,144,172,19,0,16844.27422246137,432.5,11709.594732461368,-1408,3911.33,0,0,144,96,2,0,0,0
